"","Time","n"
"877","2016-04-26",18
"878","2016-04-27",19
"879","2016-04-28",29
"880","2016-04-29",29
"881","2016-04-30",10
"882","2016-05-01",9
"883","2016-05-02",18
"884","2016-05-03",35
"885","2016-05-04",16
"886","2016-05-05",25
"887","2016-05-06",15
"888","2016-05-07",15
"889","2016-05-08",13
"890","2016-05-09",26
"891","2016-05-10",25
"892","2016-05-11",24
"893","2016-05-12",22
"894","2016-05-13",27
"895","2016-05-14",8
"896","2016-05-15",9
"897","2016-05-16",21
"898","2016-05-17",33
"899","2016-05-18",21
"900","2016-05-19",27
"901","2016-05-20",22
"902","2016-05-21",14
"903","2016-05-22",14
"904","2016-05-23",24
"905","2016-05-24",24
"906","2016-05-25",25
"907","2016-05-26",25
"908","2016-05-27",28
"909","2016-05-28",10
"910","2016-05-29",4
"911","2016-05-30",16
"912","2016-05-31",25
"913","2016-06-01",15
"914","2016-06-02",26
"915","2016-06-03",23
"916","2016-06-04",7
"917","2016-06-05",6
"918","2016-06-06",27
"919","2016-06-07",27
"920","2016-06-08",22
"921","2016-06-09",28
"922","2016-06-10",23
"923","2016-06-11",5
"924","2016-06-12",14
"925","2016-06-13",27
"926","2016-06-14",27
"927","2016-06-15",23
"928","2016-06-16",24
"929","2016-06-17",28
"930","2016-06-18",13
"931","2016-06-19",13
"932","2016-06-20",22
"933","2016-06-21",24
"934","2016-06-22",21
"935","2016-06-23",24
"936","2016-06-24",19
"937","2016-06-25",11
"938","2016-06-26",12
"939","2016-06-27",17
"940","2016-06-28",31
"941","2016-06-29",35
"942","2016-06-30",30
"943","2016-07-01",17
"944","2016-07-02",10
"945","2016-07-03",13
"946","2016-07-04",20
"947","2016-07-05",18
"948","2016-07-06",20
"949","2016-07-07",36
"950","2016-07-08",34
"951","2016-07-09",14
"952","2016-07-10",9
"953","2016-07-11",24
"954","2016-07-12",35
"955","2016-07-13",16
"956","2016-07-14",21
"957","2016-07-15",22
"958","2016-07-16",11
"959","2016-07-17",9
"960","2016-07-18",31
"961","2016-07-19",22
"962","2016-07-20",20
"963","2016-07-21",18
"964","2016-07-22",18
"965","2016-07-23",13
"966","2016-07-24",14
"967","2016-07-25",19
"968","2016-07-26",28
"969","2016-07-27",25
"970","2016-07-28",25
"971","2016-07-29",18
"972","2016-07-30",14
"973","2016-07-31",6
"974","2016-08-01",16
